metric,fear_median,greed_median,fear_mean_peraccount,greed_mean_peraccount,p_value
Daily PnL ($),122.73703799999998,265.24772500000006,9495.041252887782,6022.914292019383,0.061826269243103936
Win rate,1.0,1.0,0.8240586841127471,0.841270835919239,0.2643849851637078
Drawdown proxy ($),0.0,0.0,-7259.001271790162,-11852.476330315483,0.0022837919500587702
Trades per day,31.0,28.0,119.22236632189322,81.67836465943675,0.0388448889917211
Avg trade size ($),1853.676932748538,2004.6936333333333,9760.96514156401,6472.880358291952,0.45192229716624877
Long ratio,0.8339920948616601,0.3728897715988083,0.5416775293516429,0.5291474411501068,4.968082403639965e-05
