Metric,Fear_Median,Greed_Median,Fear_Mean,Greed_Mean,P_Value
Daily PnL ($),107.89253199999999,158.214922,5328.818161336509,3318.100729862654,0.8230850662661294
Win Rate,0.31530214424951264,0.28918231208307543,0.3640325138711635,0.3435587568848799,0.3582945307526194
Drawdown Proxy,0.0,0.0,-8767.361384026983,-11642.727361604937,0.42235971431715214
Trades per Day,26.0,25.0,98.15396825396826,77.62808641975309,0.23698716450267843
Average Trade Size,1752.6774972692215,2052.5348284404804,8975.928545864446,6427.866594360551,0.6900536160435453
Long/Short Ratio,0.6551960411115341,0.5886075949367089,2.083116542958185,1.7877582273206574,0.04728027475256721
